Timestamp,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning
1771298527937,,,0,,,,,,,,,
1771298527957,,-0.03766472265124321,,,,,,,,,,
1771298527979,,,,,-0.014791963621973991,,,,,,,
1771298527995,,,,0,,,,,,,,
1771298528011,,,,,,,0,,,,,
1771298528048,,,,,,0,,,,,,
1771298528083,,,,,,,,-0.05642859637737274,,,,
1771298528104,,,,,,,,,0,,,
1771298528123,,,,,,,,,,2.564102564102562,,
1771298528143,,,,,,,,,,,-89.15657806396484,
1771298528160,,,,,,,,,,,,0
1771298528176,36.84981684981682,,,,,,,,,,,
1771298528193,,,0,,,,,,,,,
1771298528210,,-0.06505724042654037,,,,,,,,,,
1771298528260,,,,,-0.03465154394507408,,,,,,,
1771298528294,,,,0,,,,,,,,
1771298528337,,,,,,,0,,,,,
1771298528355,,,,,,0,,,,,,
1771298528373,,,,,,,,,0,,,
1771298528390,,,,,,,,-0.04382804036140442,,,,
1771298528407,,,,,,,,,,,-89.75496673583984,
1771298528442,,,,,,,,,,3.3699633699633673,,
1771298528461,37.509157509157475,,,,,,,,,,,
1771298528481,,,,,,,,,,,,0
1771298528502,,,0,,,,,,,,,
1771298528521,,0.044649817049503326,,,,,,,,,,
1771298528539,,,,,0.0209552813321352,,,,,,,
1771298528559,,,,0,,,,,,,,
1771298528585,,,,,,,0,,,,,
1771298528621,,,,,,0,,,,,,
1771298528637,,,,,,,,,0,,,
1771298528656,,,,,,,,0.0677964985370636,,,,
1771298528678,,,,,,,,,,,-90.35337829589844,
1771298528697,,,,,,,,,,2.4175824175824157,,
1771298528716,37.399267399267366,,,,,,,,,,,
1771298528737,,,,,,,,,,,,0
1771298528757,,,0,,,,,,,,,
1771298528778,,0.07026182860136032,,,,,,,,,,
1771298528814,,,,,-0.02177705615758896,,,,,,,
1771298528835,,,,0.366300366300366,,,,,,,,
1771298528858,,,,,,,0,,,,,
1771298528876,,,,,,0,,,,,,
1771298528892,,,,,,,,,0,,,
1771298528929,,,,,,,,0.011641822755336761,,,,
1771298528951,,,,,,,,,,,-89.15658569335938,
1771298528968,,,,,,,,,,3.333333333333331,,
1771298529026,38.27838827838825,,,,,,,,,,,
1771298529048,,,,,,,,,,,,0
1771298529069,,,0,,,,,,,,,
1771298529086,,-0.06546813249588013,,,,,,,,,,
1771298529103,,,,,0.029994815587997437,,,,,,,
1771298529120,,,,0.2930402930402928,,,,,,,,
1771298529137,,,,,,,0,,,,,
1771298529155,,,,,,0,,,,,,
1771298529191,,,,,,,,0.031501404941082,,,,
1771298529208,,,,,,,,,0,,,
1771298529225,,,,,,,,,,2.3076923076923057,,
1771298529244,,,,,,,,,,,-88.55818176269531,
1771298529262,34.87179487179484,,,,,,,,,,,
1771298529278,,,,,,,,,,,,0
1771298529294,,,0,,,,,,,,,
1771298529313,,0.1788731962442398,,,,,,,,,,
1771298529333,,,,,0.10313285142183304,,,,,,,
1771298529394,,,,0,,,,,,,,
1771298529411,,,,,,,0,,,,,
1771298529429,,,,,,0,,,,,,
1771298529447,,,,,,,,,0,,,
1771298529465,,,,,,,,0.0945042073726654,,,,
1771298529480,,,,,,,,,,,-89.15657806396484,
1771298529514,,,,,,,,,,2.564102564102562,,
1771298529554,36.666666666666636,,,,,,,,,,,
1771298529584,,,,,,,,,,,,0
1771298529602,,,0,,,,,,,,,
1771298529618,,-0.0894365981221199,,,,,,,,,,
1771298529636,,,,,-0.03341887891292572,,,,,,,
1771298529654,,,,0,,,,,,,,
1771298529671,,,,,,,0,,,,,
1771298529687,,,,,,0,,,,,,
1771298529725,,,,,,,,0.000684813130646944,,,,
1771298529741,,,,,,,,,0,,,
1771298529758,,,,,,,,,,2.014652014652013,,
1771298529775,,,,,,,,,,,-90.3533706665039,
1771298529792,37.06959706959704,,,,,,,,,,,
1771298529810,,,,,,,,,,,,0
1771298529828,,,0,,,,,,,,,
1771298529859,,0.0209552813321352,,,,,,,,,,
1771298529875,,,,,0.004930654540657997,,,,,,,
1771298529914,,,,0.0366300366300366,,,,,,,,
1771298529934,,,,,,,0,,,,,
1771298529967,,,,,,0,,,,,,
1771298530001,,,,,,,,,0,,,
1771298530020,,,,,,,,0.11299416422843933,,,,
1771298530038,,,,,,,,,,,-89.15657806396484,
1771298530057,,,,,,,,,,2.7106227106227085,,
1771298530090,35.49450549450547,,,,,,,,,,,
1771298530107,,,,,,,,,,,,0
1771298530125,,,0,,,,,,,,,
1771298530146,,-0.09833916276693344,,,,,,,,,,
1771298530170,,,,,0.001506588771007955,,,,,,,
1771298530190,,,,0,,,,,,,,
1771298530211,,,,,,,0,,,,,
1771298530232,,,,,,0,,,,,,
1771298530267,,,,,,,,,0,,,
1771298530286,,,,,,,,-0.002191402018070221,,,,
1771298530305,,,,,,,,,,,-89.75496673583984,
1771298530324,,,,,,,,,,3.5531135531135503,,
1771298530343,36.52014652014649,,,,,,,,,,,
1771298530363,,,,,,,,,,,,0
1771298530384,,,0,,,,,,,,,
1771298530403,,0.019174767658114433,,,,,,,,,,
