Timestamp,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning
1771295577130,,,,,,,,,0,,,
1771295577146,,,,,,,,0.010683084838092327,,,,
1771295577167,,,,,,,,,,,-9.986858913180185e-7,
1771295577190,,,,,,,,,,0,,
1771295577208,0,,,,,,,,,,,
1771295577231,,,,,,,,,,,,0
1771295577252,,,0,,,,,,,,,
1771295577269,,5.17184591293335,,,,,,,,,,
1771295577289,,,,,5.084189414978027,,,,,,,
1771295577311,,,,12.271062271062261,,,,,,,,
1771295577330,,,,,,,4.871794871794868,,,,,
1771295577351,,,,,,0,,,,,,
1771295577392,,,,,,,,,0,,,
1771295577415,,,,,,,,0.008080794475972652,,,,
1771295577437,,,,,,,,,,,-9.986858913180185e-7,
1771295577455,,,,,,,,,,0,,
1771295577476,0,,,,,,,,,,,
1771295577492,,,,,,,,,,,,0
1771295577518,,,0,,,,,,,,,
1771295577554,,5.526852607727051,,,,,,,,,,
1771295577575,,,,,5.5797200202941895,,,,,,,
1771295577592,,,,12.527472527472517,,,,,,,,
1771295577610,,,,,,,4.981684981684977,,,,,
1771295577632,,,,,,0,,,,,,
1771295577649,,,,,,,,,0,,,
1771295577684,,,,,,,,-0.004656728822737932,,,,
1771295577706,,,,,,,,,,,-9.986858913180185e-7,
1771295577731,,,,,,,,,,0,,
1771295577753,0,,,,,,,,,,,
1771295577775,,,,,,,,,,,,0
1771295577791,,,0,,,,,,,,,
1771295577810,,5.244435787200928,,,,,,,,,,
1771295577829,,,,,5.200334072113037,,,,,,,
1771295577847,,,,13.150183150183139,,,,,,,,
1771295577863,,,,,,,6.227106227106222,,,,,
1771295577884,,,,,,0,,,,,,
1771295577901,,,,,,,,,0,,,
1771295577924,,,,,,,,0.004656728822737932,,,,
1771295577941,,,,,,,,,,,-9.986858913180185e-7,
1771295577960,,,,,,,,,,0,,
1771295577984,0,,,,,,,,,,,
1771295578003,,,,,,,,,,,,0
1771295578021,,,0,,,,,,,,,
1771295578042,,4.85915994644165,,,,,,,,,,
1771295578060,,,,,5.990607738494873,,,,,,,
1771295578078,,,,12.673992673992663,,,,,,,,
1771295578095,,,,,,,6.300366300366295,,,,,
1771295578113,,,,,,0,,,,,,
1771295578133,,,,,,,,,0,,,
1771295578150,,,,,,,,0.014655000530183315,,,,
1771295578169,,,,,,,,,,,-9.986858913180185e-7,
1771295578187,,,,,,,,,,0,,
1771295578206,0,,,,,,,,,,,
1771295578224,,,,,,,,,,,,0
1771295578241,,,0,,,,,,,,,
1771295578259,,5.021734237670898,,,,,,,,,,
1771295578278,,,,,4.893126487731934,,,,,,,
1771295578301,,,,11.09890109890109,,,,,,,,
1771295578324,,,,,,,5.091575091575088,,,,,
1771295578357,,,,,,0,,,,,,
1771295578393,,,,,,,,,0,,,
1771295578438,,,,,,,,0,,,,
1771295578464,,,,,,,,,,,-9.986858913180185e-7,
1771295578503,,,,,,,,,,0,,
1771295578523,,,,,,,,,,,,0
1771295578551,0,,,,,,,,,,,
1771295578580,,,0,,,,,,,,,
1771295578598,,6.430531978607178,,,,,,,,,,
1771295578618,,,,,6.194682598114014,,,,,,,
1771295578639,,,,11.465201465201456,,,,,,,,
1771295578663,,,,,,,5.9706959706959655,,,,,
1771295578680,,,,,,0,,,,,,
1771295578718,,,,,,,,-0.008765608072280884,,,,
1771295578762,,,,,,,,,0,,,
1771295578784,,,,,,,,,,0,,
1771295578807,,,,,,,,,,,-9.986858913180185e-7,
1771295578830,,,,,,,,,,,,0
1771295578854,,,0,,,,,,,,,
1771295578888,0,,,,,,,,,,,
1771295578944,,5.998141288757324,,,,,,,,,,
1771295578967,,,,,5.782288074493408,,,,,,,
